中药材	中药材
中药名	赤石脂
别名	红高岭
别名	赤石土
别名	赤符
别名	吃油脂
别名	红土
中药名	珠子参
别名	珠参
别名	扣子七
别名	珠儿参
别名	钮子七
别名	竹鞭三七
别名	疙瘩七
别名	土三七
别名	盘七
别名	野三七
中药名	牛至
别名	香薷
别名	土香薷
别名	土茵陈
别名	白花茵陈
别名	江宁府茵陈
别名	小叶薄荷
别名	满坡香
别名	滇香薷
别名	五香草
别名	黑拉骨丹
别名	小甜草
中药名	石南藤
别名	酒饼藤
别名	爬岩香
别名	石茹
中药名	毛诃子
别名	毗黎勒
别名	帕如拉
中药名	紫苏梗
别名	紫苏茎
别名	苏梗
别名	紫苏杆
别名	苏茎
别名	紫苏草
别名	紫苏枝茎
中药名	黄藤
别名	土黄连
别名	山大王
别名	假黄连
别名	大黄藤
别名	藤黄连
别名	伸筋藤
中药名	辟汗草
别名	散血草
别名	野苜蓿
别名	省头草
别名	铁扫把
别名	蛇退草
别名	香马料
别名	自苜蓿
别名	败毒草
别名	鸡头花草
别名	黄香草木犀
中药名	白兰花
别名	白兰
别名	白玉兰
别名	白缅花
中药名	华山参
别名	热参
别名	白毛参
别名	秦参
中药名	石上柏
别名	大叶菜
别名	梭罗草
别名	龙鳞草
别名	地梭草
别名	金龙草
别名	龙鳞草
别名	地侧柏
中药名	三分三
别名	大搜山虎
别名	野旱烟
别名	野烟
中药名	忍冬藤
别名	金银藤
别名	二花藤
别名	银花身
别名	鹭鸶藤
别名	左缠藤
别名	忍寒草
别名	通灵草
别名	忍冬草
别名	甜藤
别名	右旋藤
别名	千金藤
中药名	甘松
别名	香松
别名	甘松香
中药名	竹节参
别名	竹节三七
别名	竹节人参
别名	萝卜七
别名	蜈蚣七
别名	甜七
别名	土参
别名	明七
别名	土精
别名	血参
别名	野田七
别名	罗汉三七
别名	竹节七
中药名	草乌叶
别名	乌头叶
中药名	檵木叶
别名	檵花叶
中药名	佛甲草
别名	指甲草
别名	禾雀脷
别名	打不死
别名	火烧草
别名	佛指甲
别名	铁指甲
别名	龙牙草
别名	回生草
别名	万年草
别名	鼠牙半枝莲
别名	狗牙瓣
别名	禾雀舌
中药名	龟甲
别名	龟板
别名	乌龟甲
别名	神屋
别名	龟壳
别名	败龟甲
别名	败龟
别名	龟筒
别名	龟下甲
别名	龟版
别名	元武版
别名	龟腹甲
中药名	无根藤
别名	无头藤
别名	无娘藤
别名	无根草
别名	菟丝藤
别名	罗网藤
别名	金丝藤
中药名	广东刘寄奴
别名	鸭脚艾
别名	四季菜
别名	甜菜子
别名	珍珠菊
别名	甜艾
别名	鸭脚菜
中药名	马蹄金
别名	小金钱草
别名	黄胆草
别名	螺丕草
别名	荷包草
别名	肉馄饨草
别名	黄疸草
别名	小铜钱草
别名	星子草
别名	九连环
中药名	胆矾
别名	石胆
别名	蓝矾
别名	毕石
别名	君石
别名	黑石
别名	鸭嘴胆矾
别名	翠胆矾
别名	石液
中药名	缬草
别名	满山香
别名	拔地麻
别名	甘松
别名	五里香
别名	小救驾
别名	穿心排草
别名	鹿子松
别名	猫食菜
别名	抓地虎
中药名	辣椒
别名	番椒
别名	辣茄
别名	辣虎
别名	腊茄
别名	海椒
别名	辣子
别名	大椒
中药名	燕窝
别名	燕窝菜
别名	燕蔬菜
别名	燕根
别名	燕菜
中药名	鸡内金
别名	鸡肫皮
别名	鸡肶胵
别名	鸡黄皮
别名	鸡食皮
别名	鸡合子
别名	鸡中金
别名	化石胆
别名	化骨胆
中药名	金丝草
别名	落苏
别名	猫毛草
别名	肥马草
别名	枪草
别名	黄毛草
别名	毛毛草
别名	笔仔草
别名	猫仔草
别名	牛毛草
中药名	芫荽子
别名	胡荽
别名	香菜
别名	香荽
别名	胡荽子
中药名	土贝母
别名	大贝母
别名	假贝母
别名	土贝
别名	土苦胆
别名	草贝
别名	垒贝
别名	猪屎贝
中药名	沙苑子
别名	潼蒺藜
别名	蔓黄芪
别名	夏黄草
别名	沙苑蒺藜
中药名	大青盐
别名	青盐
别名	石盐
别名	戎盐
别名	胡盐
别名	岩盐
别名	羌盐
别名	阴土盐
中药名	贯叶金丝桃
别名	贯叶连翘
别名	过路黄
别名	小种黄
别名	上天梯
别名	赶山鞭
别名	小对月草
别名	大对叶草
别名	小刘寄奴
别名	小叶金丝桃
中药名	紫石英
别名	赤石英
别名	氟石
别名	荧石
中药名	天山雪莲
别名	新疆雪莲
中药名	绵马贯众
别名	贯节
别名	贯中
别名	管仲
别名	凤尾草
别名	百头
中药名	黑种草子
别名	斯亚旦(维吾尔族名)
中药名	凤眼果
别名	九层皮
别名	七姐果
别名	富贵子
别名	红皮果
别名	罗晃子
别名	苹婆果
别名	潘安果
中药名	杜仲叶
别名	思仲叶
中药名	蜘蛛香
别名	马蹄香
别名	九转香
别名	连香草
别名	大救驾
别名	鬼见愁
别名	老龙须
别名	养血莲
别名	磨脚花
中药名	蓝布正
别名	水杨梅
别名	路边黄
别名	香鸡归
别名	南布正
别名	凤凰窝
别名	老蛇骚
中药名	灯盏细辛
别名	地顶草
别名	灯盏花
别名	双葵花
别名	灯盏草
别名	罐儿草
别名	灯盏菊
别名	细辛草
别名	东菊
中药名	金铁锁
别名	昆明沙参
别名	独丁子
别名	金丝矮陀陀
别名	蜈蚣七
别名	铃地草根
别名	小马桑
别名	独根
别名	白暗消
别名	巴地蜈蚣
别名	麻参
中药名	莲子心
别名	薏
别名	苦薏
别名	莲薏
别名	莲心
中药名	巫山淫羊藿
别名	千两金
别名	干鸡筋
中药名	阿魏
别名	熏渠
别名	魏去疾
别名	哈昔泥
别名	五彩魏
别名	臭阿魏
别名	阿虞
中药名	青叶胆
别名	肝炎草
别名	小青鱼胆
别名	七疸药
别名	小苦草
别名	细龙胆
中药名	西青果
别名	西藏青果
别名	藏青果
中药名	关黄柏
别名	黄檗
别名	黄柏
中药名	龙涎香
别名	龙腹香
别名	鲸涎香
别名	龙漦
别名	龙泄
中药名	山麦冬
别名	湖北麦冬
中药名	相思子
别名	红豆
别名	云南豆子
别名	相思豆
别名	红漆豆
别名	鸡音子
别名	鬼眼子
别名	美人豆
中药名	白药子
别名	白药
别名	白药根
别名	山乌龟
